Column,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,department,objectName,title,culture,period,artistDisplayBio,artistAlphaSort,artistNationality,artistGender,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,classification,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
0,73778.0,False,2008.188.6,2008,False,,Asian Art,Hanging scroll,Mynah on a Branch,China,,"Chinese, 1903–1982",Wang Xuetao,Chinese,,Dated 1941,1941.0,1941.0,Hanging scroll; ink and color on paper,"Image: 35 x 13 1/2 in. (88.9 x 34.3 cm)
Overall: 69 x 19 in. (175.3 x 48.3 cm)
Overall with knobs: 69 x 22 in. (175.3 x 55.9 cm)","[{'elementName': 'Overall with knobs', 'elementDescription': None, 'elementMeasurements': {'Height': 175.2604, 'Width': 55.8801}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 175.2604, 'Width': 48.2601}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 88.9002, 'Width': 34.2901}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73778,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}]",https://www.wikidata.org/wiki/Q126145604,False,
1,73783.0,False,2008.188.5,2008,False,,Asian Art,Hanging scroll,Begonias and a Bird on a Rock,China,,"Chinese, 1864–1957",QI BAISHI,Chinese,,mid 19th–mid 20th century,1864.0,1957.0,Hanging scroll; ink and color on paper,"Image: 36 x 16 3/4 in. (91.4 x 42.5 cm)
Overall with mounting: 66 × 21 in. (167.6 × 53.3 cm)
Overall with knobs: 66 x 24 1/4 in. (167.6 x 61.6 cm)","[{'elementName': 'Overall with knobs', 'elementDescription': None, 'elementMeasurements': {'Height': 167.6403, 'Width': 61.5951}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 91.4402, 'Width': 42.5451}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 167.64034, 'Width': 53.340107}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73783,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q126145577,False,
2,73780.0,False,2008.188.2,2008,False,,Asian Art,Hanging scroll,Peony,China,,"Chinese, 1864–1957",QI BAISHI,Chinese,,Dated 1947,1947.0,1947.0,Hanging scroll; ink and color on paper,"Image: 26 1/2 x 13 1/4 in. (67.3 x 33.7 cm)
Overall: 40 x 17 in. (101.6 x 43.2 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 101.6002, 'Width': 43.1801}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 67.3101, 'Width': 33.6551}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73780,"[{'term': 'Peonies', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300380052', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q147105'}, {'term': 'Leaves', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300011892', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q33971'}]",https://www.wikidata.org/wiki/Q126145588,False,
3,73781.0,False,2008.188.3,2008,False,,Asian Art,Hanging scroll,Five Shrimp,China,,"Chinese, 1864–1957",QI BAISHI,Chinese,,Dated 1947,1947.0,1947.0,Hanging scroll; ink and color on paper,"Image: 27 x 13 1/2 in. (68.6 x 34.3 cm)
Overall: 40 1/2 x 17 3/4 in. (102.9 x 45.1 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 102.8702, 'Width': 45.0851}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 68.5801, 'Width': 34.2901}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73781,"[{'term': 'Animals', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300249525', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q729'}]",https://www.wikidata.org/wiki/Q126145582,False,
4,73779.0,False,2008.188.1,2008,False,,Asian Art,Hanging scroll,Rooster and coxcomb,China,Republic period (1912–49),"Chinese, 1864–1957",QI BAISHI,Chinese,,dated 1947,1947.0,1947.0,Hanging scroll; ink and color on paper,"Image: 41 1/2 x 18 1/2 in. (105.4 x 47 cm)
Overall: 64 x 23 1/4 in. (162.6 x 59.1 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 162.5603, 'Width': 59.0551}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 105.4102, 'Width': 46.9901}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73779,"[{'term': 'Roosters', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300380127', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2216236'}, {'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q126145594,False,
5,53456.0,False,"2015.300.163.1, .2",2015,True,https://images.metmuseum.org/CRDImages/as/original/DP362631.jpg,Asian Art,Screens,Orchid Pavilion Gathering; Autumn Harvest Festival,Japan,Edo period (1615–1868),"Japanese, 1723–1776",Ike no Taiga,Japanese,,ca. 1763,1600.0,1870.0,Pair of six-panel folding screens; ink and color on paper,"Image (each): 63 1/4 in. × 11 ft. 8 3/16 in. (160.7 × 356 cm)
Overall with mounting:  69 9/16 in. × 12 ft. 2 7/16 in. (176.7 × 372 cm)","[{'elementName': 'Overall', 'elementDescription': 'each', 'elementMeasurements': {'Height': 176.7, 'Width': 372}}, {'elementName': 'Image', 'elementDescription': 'each', 'elementMeasurements': {'Height': 160.7, 'Width': 356}}]","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Paintings,2025-12-02T04:52:41.85Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/53456,"[{'term': 'Mountains', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008795', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8502'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}, {'term': 'Autumn', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300133093', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1314'}]",https://www.wikidata.org/wiki/Q126148580,False,
6,36131.0,True,1981.4.1a–o,1981,True,https://images.metmuseum.org/CRDImages/as/original/1981_4_1a.jpg,Asian Art,Album,Landscapes with poems,China,Qing dynasty (1644–1911),"Chinese, 1619–1689",Gong Xian,Chinese,,1688,1688.0,1688.0,Fifteen leaves from an album (1980.516.2a–c and 1981.4.1a–o) of eighteen leaves,10 3/4 x 16 1/8 in. (27.3 x 41 cm),"[{'elementName': 'Overall', 'elementDescription': 'painting and calligraphy', 'elementMeasurements': {'Height': 35.4013, 'Width': 52.2289}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 40.9576, 'Width': 58.1026}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 27.3051, 'Width': 40.9576}}, {'elementName': 'Image', 'elementDescription': 'leaves n, o', 'elementMeasurements': {'Height': 35.5601, 'Width': 53.6576}}, {'elementName': 'Overall with mounting', 'elementDescription': 'leaves n, o', 'elementMeasurements': {'Height': 40.9576, 'Width': 58.1026}}]","Gift of Douglas Dillon, 1981",Paintings,2025-11-08T04:50:58.143Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/36131,"[{'term': 'Poetry', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300055931', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q482'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}]",https://www.wikidata.org/wiki/Q29383237,False,
7,53439.0,False,2015.300.110,2015,True,https://images.metmuseum.org/CRDImages/as/original/DP704960.jpg,Asian Art,Screen,Women on a Bridge Tossing Fans into a River,Japan,Edo period (1615–1868),,,,,early 17th century,1520.0,1780.0,"Six-panel folding screen; ink, color, gold, and gold leaf on paper","Image: 60 1/4 in. × 11 ft. 7 13/16 in. (153 × 355.2 cm)
Overall: 66 3/4 in. × 12 ft. 2 1/8 in. (169.5 × 371.2 cm)","[{'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 153, 'Width': 355.2}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 169.54533, 'Width': 371.15823}}]","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Paintings,2025-10-23T04:51:40.987Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/53439,"[{'term': 'Bridges', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300386855', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q12280'}, {'term': 'Fans', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300258857', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193220'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Rivers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008707', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q4022'}]",,False,
8,39936.0,True,1981.278,1981,True,https://images.metmuseum.org/CRDImages/as/original/DP151504_CRD.jpg,Asian Art,Handscroll,Finches and bamboo,China,Northern Song dynasty (960–1127),"Chinese, 1082–1135; r. 1100–25","Huizong, Emperor",Chinese,,early 12th century,1100.0,1127.0,Handscroll; ink and color on silk,"Image: 13 1/4 × 21 13/16 in. (33.7 × 55.4 cm)
Overall with mounting: 13 3/4 in. × 27 ft. 6 5/16 in. (34.9 × 839 cm)","[{'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 33.7, 'Width': 55.403862}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 34.9, 'Width': 838.9954}}]","John M. Crawford Jr. Collection, Purchase, Douglas Dillon Gift, 1981",Paintings,2025-10-29T04:51:52.627Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/39936,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Bamboo', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300311500', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q670887'}]",https://www.wikidata.org/wiki/Q29383312,True,
9,78670.0,False,2013.768,2013,True,https://images.metmuseum.org/CRDImages/as/original/DP319944_dup.jpg,Asian Art,Illustrated book,A New Record Comparing the Handwriting of the Courtesans of the Yoshiwara (Yoshiwara keisei shin bijin jihitsu kagami) 吉原傾城新美人自筆鏡,Japan,Edo period (1615–1868),"Japanese, 1761–1816",Kitao Masanobu (Santō Kyōden) 北尾政演 (山東京伝),Japanese,,"1784, early spring (Tenmei 4)",1784.0,1784.0,Woodblock printed book; ink and color on paper,14 15/16 × 10 1/4 in. (38 × 26 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 38, 'Width': 26}}]","Purchase, Mary and James G. Wallach Family Foundation Gift, in honor of John T. Carpenter, 2013",Illustrated Books,2025-10-15T04:51:40.863Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/78670,"[{'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",,False,
